from	to
TMCO5A	DKKL1
TMCO5A	TEX33
TMCO5A	ADAD1
TMCO5A	CCDC62
TMCO5A	CBLL2
TMCO5A	TSPAN18
SCFD2	SCFD1
SCFD2	STXBP2
SCFD2	UBE2Z
SCFD2	SIRT2
SCFD2	NBAS
FAM241A	PLP1
FAM241A	LINGO1
FAM241A	LPAR1
FAM241A	SGCD
FITM2	CCRL2
FITM2	HTR2C
FITM2	LPAR1
FITM2	TSPAN18
CPNE8	TRPM1
CPNE8	VAMP8
CPNE8	NDUFS1
CPNE8	SOAT1
CPNE8	ARRB1
OR2C3	CBLL2
OR2C3	ADAD1
OR2C3	CCDC62
OR2C3	ARRB1
ENOX1	NOX4
ENOX1	SETD1A
ENOX1	RBMS3
ENOX1	LPAR1
OR2AE1	PTAFR
OR2AE1	GPR65
OR2AE1	ARRB1
BLOC1S3	DTNBP1
BLOC1S3	DNAJC6
BLOC1S3	ARRB1
MGAT5B	FAM171A2
MGAT5B	MGAT5
MGAT5B	PTGER3
CFAP45	SPTAN1
CFAP45	PACRG
CFAP45	ARRB1
CSTL1	AHSG
CSTL1	PRKN
CSTL1	NRG1
TMEM120B	RNF5
TMEM120B	SIGMAR1
TMEM120B	LPAR1
TMEM151A	CAMK2A
TMEM151A	SNCB
TMEM151A	LPAR1
CST11	CST3
CST11	AHSG
CST11	NRG1
OR8D1	CBLL2
OR8D1	ADAD1
OR8D1	ARRB1
ZSWIM9	ESR2
ZSWIM9	ZNF292
ZSWIM9	AHDC1
ARRDC2	RXRA
ARRDC2	PDE4D
ARRDC2	ARRB1
TMEM120A	VKORC1
TMEM120A	TSPAN18
OLFM2	TUBB1
OLFM2	NBAS
TMEM161B	RPS6KB1
TMEM161B	LPAR1
RNF121	ITGB2
RNF121	LPAR1
OR2L13	ZP3
OR2L13	ARRB1
TSPAN19	TSPAN16
TSPAN19	TSPAN18
TMEM181	SH3RF1
TMEM181	NRG1
GTSF1	HSPB1
GTSF1	MPHOSPH6
ZNF385D	ZNF804A
ZNF385D	PTGER3
OR4E2	MC1R
OR4E2	ARRB1
RAVER2	CNKSR3
RAVER2	NRG1
OR11H4	PTAFR
OR11H4	ARRB1
OR6F1	PTAFR
OR6F1	ARRB1
OR7C1	CHRM1
OR7C1	ARRB1
TMEM218	NARS2
TMEM218	TSPAN18
OR4C6	HEATR4
OR4C6	ARRB1
TMEM87B	SLC30A7
TMEM87B	LPAR1
HSPA7	UBXN11
HSPA7	ARRB1
OR4S2	ADAM10
OR4S2	ARRB1
AL121594.3	RNF4
AL121594.3	NRG1
OR2J2	PCDH11X
OR2J2	ARRB1
FABP9	FABP2
FABP9	FABP4
TMED8	TMED9
TMED8	PTGER3
LARGE2	DKKL1
LARGE2	NRG1
